time_second,beat_type,rhythm_label,bad_signal_quality,bad_signal_quality_label
20463.269444444446,N,N,False,
20464.008333333335,N,N,False,
20464.708333333332,N,N,False,
20465.416666666668,N,N,False,
20466.12777777778,N,N,False,
20466.841666666667,N,N,False,
20467.555555555555,N,N,False,
20468.26388888889,N,N,False,
20468.977777777778,N,N,False,
20469.680555555555,N,N,False,
20470.394444444446,N,N,False,
20471.108333333334,N,N,False,
20471.819444444445,N,N,False,
20472.527777777777,N,N,False,
20473.244444444445,N,N,False,
20473.944444444445,N,N,False,
20474.666666666668,N,N,False,
20475.375,N,N,False,
20476.08611111111,N,N,False,
20476.794444444444,N,N,False,
20477.5,N,N,False,
20478.21111111111,N,SR-mPVC-BT,False,
20478.916666666668,N,SR-mPVC-BT,False,
20479.62222222222,N,SR-mPVC-BT,False,
20480.094444444443,V,SR-mPVC-BT,False,
20481.058333333334,N,SR-mPVC-BT,False,
20481.769444444446,N,SR-mPVC-BT,False,
20482.469444444443,N,SR-mPVC-BT,False,
20483.191666666666,N,SR-mPVC-BT,False,
20483.894444444446,N,SR-mPVC-BT,False,
20484.602777777778,N,SR-mPVC-BT,False,
20485.12222222222,V,SR-mPVC-BT,False,
20486.033333333333,N,SR-mPVC-BT,False,
20486.744444444445,N,SR-mPVC-BT,False,
20487.45,N,SR-mPVC-BT,False,
20487.944444444445,V,SR-mPVC-BT,False,
20488.891666666666,N,SR-mPVC-BT,False,
20489.588888888888,N,SR-mPVC-BT,False,
20490.28888888889,N,SR-mPVC-BT,False,
20490.78888888889,V,SR-mPVC-BT,False,
20491.725,N,SR-mPVC-BT,False,
20492.425,N,SR-mPVC-BT,False,
20493.133333333335,N,SR-mPVC-BT,False,
20493.672222222223,V,SR-mPVC-BT,False,
20494.544444444444,N,SR-mPVC-BT,False,
20495.266666666666,N,SR-mPVC-BT,False,
20495.972222222223,N,SR-mPVC-BT,False,
20496.527777777777,V,SR-mPVC-BT,False,
20497.391666666666,N,SR-mPVC-BT,False,
20498.091666666667,N,SR-mPVC-BT,False,
20498.81111111111,N,SR-mPVC-BT,False,
20499.380555555555,V,SR-mPVC-BT,False,
20500.244444444445,N,SR-mPVC-BT,False,
20500.93611111111,N,SR-mPVC-BT,False,
20501.625,N,SR-mPVC-BT,False,
20502.222222222223,V,SR-mPVC-BT,False,
20503.083333333332,N,SR-mPVC-BT,False,
20503.777777777777,N,SR-mPVC-BT,False,
20504.475,N,SR-mPVC-BT,False,
20505.075,V,SR-mPVC-BT,False,
20505.922222222223,N,SR-mPVC-BT,False,
20506.633333333335,N,SR-mPVC-BT,False,
20507.344444444443,N,SR-mPVC-BT,False,
20507.969444444443,V,SR-mPVC-BT,False,
20508.775,N,N,False,
20509.48888888889,N,N,False,
20510.194444444445,N,N,False,
20510.911111111112,N,N,False,
20511.61388888889,N,N,False,
20512.316666666666,N,N,False,
20513.030555555557,N,N,False,
20513.74722222222,N,N,False,
20514.458333333332,N,N,False,
20515.169444444444,N,N,False,
20515.875,N,N,False,
20516.577777777777,N,N,False,
20517.294444444444,N,N,False,
20518.008333333335,N,N,False,
20518.71111111111,N,N,False,
20519.42777777778,N,N,False,
20520.12777777778,N,N,False,
20520.852777777778,N,N,False,
20521.56388888889,N,N,False,
20522.280555555557,N,N,False,
20522.98888888889,N,N,False,
20523.702777777777,N,N,False,
20524.425,N,N,False,
20525.13888888889,N,N,False,
20525.858333333334,N,N,False,
